"data","label"
"TIVI tốt, chỉ có tìm kiếm bằng giọng nói không rõ ràng","1"
"tìm kiếm bằng giọng nới không nhạy, không chuẩn, còn lại ok","1"
"tivi dùng tốt, lúc mua được tặng kèm 1 bộ loa nữa","1"
"đánh giá tốt","1"
"TỐT","1"
"thao tác đơn giản dễ dùng, cấu hình máy đẹp","1"
"máy đẹp, âm thanh hay, màu sắc nét","1"
"mình thấy dùng rất ok, tốt","1"
"cũng ổn, không vấn đề gì","1"
"dùng được ok","1"
"tốt","1"
"máy dùng ok, tốt","1"
"sài bình thường , tốt","1"
"sản phẩm rất tốt","1"
"anh mua cho nhà dùng, thấy cũng tốt, hài lòng","1"
"nhà toàn sử dụng LG, rất chất lượng, ổn định","1"
"hay bị lỗi ứng dụng, tìm kiếm giọng nói không chuẩn, chậm, hình ảnh không nét lắm, độ xử lí kém so với dòng sony","0"
"máy dùng bình thường, rất ngon","1"
"dùng bình thường không có vấn đề gì","1"
"10 điểm, máy đẹp chất lượng","1"
"OK chưa có vấn đề gì nha","1"
"thấy sài cũng được, ổn định","1"
"máy đẹp, tiện ích","1"
"hình ảnh đẹp, âm thanh cũng ok","1"
"màn hình sắc nét, độ phân giải cao, âm thanh chuẩn","1"
"BÌNH THƯỜNG","1"
"vào mạng hơi chậm, lag","1"
"hình ảnh chân thật, âm thanh hay, thao tác đơn giản","1"
"hình đẹp, dễ dùng, ổn định","1"
"OK TỐT","1"
"máy đẹp, ổn định","1"
"dùng tốt lắm không có vấn đề gì","1"
"vẫn tốt, ổn định, ok","1"
"cấu hình đẹp","1"
"dùng vẫn ổn định, ok","1"
"sản phẩm tốt đã mua nhiều lần","1"
"tivi dùng rất ok","1"
"XEM CŨNG OK","1"
"xem thấy cũng bình thường","1"
"điều khiển dễ sử dụng cho người lớn tuổi, màu sắc âm thanh đều tốt, ổn định. loa tặng kèm cũng rất tốt","1"
"xem thấy được","1"
"đạt, rất tốt","1"
"máy dùng ổn định, tốt","1"
"màu sắc đẹp, âm thanh cấu hình tốt","1"
"sài cũng được","1"
"tivi xài ok, chất lượng phục vụ tốt","1"
"tivi hoạt động tốt, màn hình ổn","1"
"chất lượng âm thanh ổn định, nói chung cũng thấy ok","1"
"chất lượng hình ảnh, âm thanh tốt","1"
